Publisher,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
10TACLE Studios,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.11,,,,,,,,,
1C Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.14,,,,,
1st Playable Productions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,
20th Century Fox Video Games,,1.35,1.9400000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2D Boy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,
2K Sports,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,0.37,,0.4,,,,,,,,
3DO,,,,,,,,,,,,,,,,,,,0.4,4.540000000000001,7.620000000000001,9.430000000000001,10.030000000000001,10.48,,,,,,,,,,,,,
49Games,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,
505 Games,,,,,,,,,,,,,,,,,,,,,,,0.29,0.39,1.28,2.55,10.04,20.47,23.24,30.81,45.42,48.870000000000005,51.21000000000001,53.52000000000001,55.26000000000001,55.87000000000001,56.41000000000001
5pb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.28,0.5700000000000001,0.8400000000000001,1.1,1.24,1.37,1.59,1.6300000000000001
7G//AMES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.08,,,,,
989 Sports,,,,,,,,,,,,,,,,,,,,0.38,,,0.78,,,,,,,,,,,,,,
989 Studios,,,,,,,,,,,,,,,,,,0.52,8.06,13.32,,,,,,,,,,,,,,,,,
AQ Interactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.38,0.53,,,,,,,
ASC Games,,,,,,,,,,,,,,,,,1.31,,1.9700000000000002,2.02,,,,,,,,,,,,,,,,,
ASCII Entertainment,,,,,,,,,,,,,,,0.87,2.12,4.99,8.31,8.73,10.57,,10.89,,,,,,,,,,,,,,,
ASCII Media Works,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.13,0.25,0.26,,,0.27,,
