laptop_ID,Company,Product,TypeName,Inches,Resolution_X,Resolution_Y,cat_resolution,Is_touch,CPU_Brand,CPU_Model,SSD,HDD,CPU_Frec,Ram,GPU_Brand,GPU_Model,Is_GPU_dedicated,OpSys,Weight,Price_euros
1223,Dell,Inspiron 5567,Notebook,15.6,1920,1080,Full HD,0,Intel,Core i5 7200U,256.0,0,2.5,8.0,AMD,Radeon R7 M445,1,Windows,2.36,889.0
78,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,1920,1080,Full HD,0,Intel,Core i5 7200U,0.0,2048,2.5,8.0,Intel,HD Graphics 620,0,Chrome OS,2.2,519.0
1267,Dell,XPS 13,Convertible,13.3,3200,1800,QHD,1,Intel,Core i5 7Y54,256.0,0,1.2,8.0,Intel,HD Graphics 615,0,Windows,1.24,1813.0
161,Dell,Inspiron 5579,Convertible,15.6,1920,1080,Full HD,1,Intel,Core i7 8550U,256.0,0,1.8,8.0,Intel,UHD Graphics 620,0,Windows,1.56,1049.0
922,LG,Gram 14Z970,Ultrabook,14.0,1920,1080,Full HD,1,Intel,Core i7 7500U,512.0,0,2.7,8.0,Intel,HD Graphics 620,0,Windows,0.98,1899.0
1040,HP,ProBook 650,Notebook,14.0,1366,768,HD,0,Intel,Core i5 7200U,0.0,500,2.5,4.0,Intel,HD Graphics 620,0,Windows,2.31,1189.0
1039,HP,Elitebook 820,Ultrabook,12.5,1366,768,HD,0,Intel,Core i5 7200U,256.0,0,2.5,4.0,Intel,HD Graphics 620,0,Windows,1.26,1559.0
993,Asus,Rog GL753VE-DS74,Gaming,17.3,1920,1080,Full HD,0,Intel,Core i7 7700HQ,256.0,1024,2.8,14.0,Nvidia,GeForce GTX 1050 Ti,1,Windows,2.99,1749.0
1044,HP,ProBook 440,Notebook,14.0,1366,768,HD,0,Intel,Core i5 7200U,256.0,0,2.5,4.0,Intel,HD Graphics 620,0,Windows,1.64,973.0
534,Lenovo,IdeaPad 320-15ISK,Notebook,15.6,1366,768,HD,0,Intel,Core i3 6006U,0.0,2048,2.0,8.0,Nvidia,GeForce 920MX,1,Chrome OS,2.2,459.0
337,Toshiba,Satellite Pro,Notebook,15.6,1920,1080,Full HD,0,Intel,Core i5 7200U,256.0,0,2.5,8.0,Intel,HD Graphics 620,0,Windows,2.0,943.0
568,Lenovo,V330-15IKB (i3-7130U/4GB/128GB/FHD/W10),Notebook,15.6,1920,1080,Full HD,0,Intel,Core i3 7130U,128.0,0,2.7,4.0,Intel,HD Graphics 620,0,Windows,2.05,630.0
955,Asus,X751SV-TY001T (N3710/4GB/1TB/GeForce,Notebook,17.3,1600,900,HD,0,Intel,Pentium Quad Core N3710,0.0,1024,1.6,4.0,Nvidia,GeForce 920MX,1,Windows,2.8,530.0
608,HP,ProBook 450,Notebook,15.6,1366,768,HD,0,Intel,Core i3 7100U,0.0,500,2.4,4.0,Intel,HD Graphics 620,0,Windows,2.1,668.48
523,HP,15-bs190od (i5-8250U/4GB/1TB/W10),Notebook,15.6,1366,768,HD,1,Intel,Core i5 8250U,0.0,1024,1.6,4.0,Intel,UHD Graphics 620,0,Windows,2.04,521.47
1174,MSI,GP72M 7REX,Gaming,17.3,1920,1080,Full HD,0,Intel,Core i7 7700HQ,256.0,1024,2.8,14.0,Nvidia,GeForce GTX 1050 Ti,1,Windows,2.7,1492.8
1023,HP,Probook 440,Notebook,14.0,1366,768,HD,0,Intel,Core i3 7100U,0.0,500,2.4,4.0,Intel,HD Graphics 620,0,Windows,1.64,684.0
1229,Asus,FX502VM-AS73 (i7-7700HQ/16GB/1TB,Notebook,15.6,1920,1080,Full HD,0,Intel,Core i7 7700HQ,128.0,1024,2.8,14.0,Nvidia,GeForce GTX 1060,1,Windows,2.2,1749.0
313,Lenovo,IdeaPad 320-15IKB,Notebook,15.6,1920,1080,Full HD,0,Intel,Core i5 7200U,128.0,1024,2.5,8.0,Nvidia,GeForce 940MX,1,Windows,2.3,819.0
229,Dell,Alienware 17,Gaming,17.3,1920,1080,Full HD,0,Intel,Core i7 7700HQ,256.0,1024,2.8,14.0,Nvidia,GeForce GTX 1060,1,Windows,4.42,2456.34
1157,MSI,GP62M 7RDX,Gaming,15.6,1920,1080,Full HD,0,Intel,Core i7 7700HQ,128.0,1024,2.8,8.0,Nvidia,GeForce GTX 1050,1,Windows,2.4,1142.8
683,MSI,GP62 7RDX,Gaming,15.6,1920,1080,Full HD,0,Intel,Core i7 7700HQ,256.0,1024,2.8,14.0,Nvidia,GeForce GTX 1050,1,Windows,2.4,1294.0
294,Lenovo,IdeaPad 320-15IKB,Notebook,15.6,1920,1080,Full HD,0,Intel,Core i7 7500U,0.0,1024,2.7,8.0,Nvidia,GeForce 940MX,1,Chrome OS,2.2,659.01
205,Lenovo,V110-15ISK (i5-6200U/4GB/128GB/W10),Notebook,15.6,1366,768,HD,0,Intel,Core i5 6200U,128.0,0,2.3,4.0,Intel,HD Graphics 520,0,Windows,2.1,493.0
723,Lenovo,Thinkpad E470,Notebook,14.0,1920,1080,Full HD,0,Intel,Core i5 7200U,256.0,0,2.5,8.0,Nvidia,GeForce 920MX,1,Windows,1.87,857.07
439,Lenovo,IdeaPad 320s-14IKB,Notebook,14.0,1920,1080,Full HD,0,Intel,Core i3 7130U,128.0,0,2.7,4.0,Intel,HD Graphics 620,0,Windows,1.7,599.0
121,Asus,X705UV-BX074T (i3-6006U/4GB/1TB/GeForce,Notebook,17.3,1920,1080,Full HD,0,Intel,Core i3 6006U,0.0,1024,2.0,4.0,Nvidia,GeForce 920MX,1,Windows,2.0,564.0
1291,HP,15-AC110nv (i7-6500U/6GB/1TB/Radeon,Notebook,15.6,1366,768,HD,0,Intel,Core i7 6500U,0.0,1024,2.5,6.0,AMD,Radeon R5 M330,1,Windows,2.19,764.0
745,Dell,Inspiron 5379,Convertible,13.3,1920,1080,Full HD,1,Intel,Core i5 8250U,0.0,1024,1.6,8.0,Intel,UHD Graphics 620,0,Windows,1.55,659.0
178,HP,ProBook 470,Notebook,17.3,1920,1080,Full HD,0,Intel,Core i5 8250U,256.0,0,1.6,8.0,Nvidia,GeForce 930MX,1,Windows,2.5,923.0
1193,Asus,UX410UA-GV097T (i3-7100U/4GB/256GB/FHD/W10),Notebook,14.0,1920,1080,Full HD,0,Intel,Core i3 7100U,256.0,0,2.4,4.0,Intel,HD Graphics 620,0,Windows,2.0,769.0
883,Toshiba,Tecra A50-D-11D,Notebook,15.6,1920,1080,Full HD,0,Intel,Core i7 7500U,256.0,0,2.7,8.0,Intel,HD Graphics 620,0,Windows,2.0,1388.0
217,HP,15-bs018nq (i3-6006U/4GB/500GB/FHD/No,Notebook,15.6,1920,1080,Full HD,0,Intel,Core i3 6006U,0.0,500,2.0,4.0,Intel,HD Graphics 520,0,Chrome OS,2.1,349.0
