iter	Logloss
0	0.6759315113
1	0.660035633
2	0.6453229435
3	0.631325457
4	0.6189057822
5	0.6068504061
6	0.5954591714
7	0.5848370569
8	0.5752058512
9	0.5660821003
10	0.5575429407
11	0.549519531
12	0.5419937513
13	0.5349275944
14	0.5286647576
15	0.5224801111
16	0.516910992
17	0.5117133107
18	0.5068288664
19	0.5023959539
20	0.4981773508
21	0.4940564515
22	0.4902324032
23	0.4865634777
24	0.4832045936
25	0.4800544435
26	0.4770211029
27	0.4742099247
28	0.4719060993
29	0.4694389923
30	0.4671133416
31	0.4649124894
32	0.462971093
33	0.4609959387
34	0.4591768591
35	0.4575208911
36	0.4558516308
37	0.4545897758
38	0.4531194927
39	0.4519308646
40	0.4505702179
41	0.449339061
42	0.4481671588
43	0.4471457559
44	0.4461107547
45	0.4450755495
46	0.4441734717
47	0.443310795
48	0.4424871795
49	0.4416882109
50	0.4409463552
51	0.4401643165
52	0.4394752223
53	0.4388407932
54	0.4380876509
55	0.4375569769
56	0.4369672523
57	0.4364234219
58	0.4358317936
59	0.4353264804
60	0.434952255
61	0.4344072348
62	0.4340287259
63	0.4335507454
64	0.4331264781
65	0.4327308014
66	0.432235347
67	0.431865813
68	0.4314810149
69	0.4310968966
70	0.4308752782
71	0.430507002
72	0.4302363957
73	0.4298498298
74	0.4294433424
75	0.4291802491
76	0.4289860993
77	0.4288077235
78	0.428537831
79	0.4283031922
80	0.4281131219
81	0.4278912315
82	0.4276744065
83	0.4274947048
84	0.4271488998
85	0.4269357804
86	0.4266937645
87	0.4265559456
88	0.426303629
89	0.4260615451
90	0.4257737709
91	0.425596585
92	0.4253299901
93	0.4251489627
94	0.4250544204
95	0.4247945908
96	0.4246370204
97	0.4244593925
98	0.4243498581
99	0.4241561162
100	0.4239637681
101	0.4236626676
102	0.4235179136
103	0.4233979425
104	0.4232288136
105	0.4229879535
106	0.4228836885
107	0.4227635814
108	0.4224866519
109	0.4222886265
110	0.4220602769
111	0.4219186506
112	0.4217629159
113	0.4216040877
114	0.4213477256
115	0.4212438685
116	0.4212131703
117	0.4210898677
118	0.4209497371
119	0.4207620805
120	0.4205869343
121	0.4204319475
122	0.4202201539
123	0.4201297591
124	0.4199260565
125	0.419785484
126	0.4196975709
127	0.4195958896
128	0.4195082485
129	0.4194384551
130	0.4193295667
131	0.4191714184
132	0.4190514133
133	0.4189982099
134	0.4188997582
135	0.4187411679
136	0.4186165734
137	0.4185466441
138	0.4184052217
139	0.4182960613
140	0.4182349709
141	0.4181523952
142	0.4179874477
143	0.4179118411
144	0.4178817888
145	0.4176962739
146	0.4176032615
147	0.417583102
148	0.4175377176
149	0.4173990829
150	0.4173409161
151	0.4172159477
152	0.417157305
153	0.4169956211
154	0.4169005009
155	0.4168307756
156	0.416747282
157	0.4166629385
158	0.4166116049
159	0.4164316992
160	0.4164071883
161	0.4162578789
162	0.4161881535
163	0.4161429732
164	0.4160953111
165	0.4159910461
166	0.4159665351
167	0.4159187371
168	0.4158441843
169	0.4158181096
170	0.4156606412
171	0.4156359942
172	0.4156278013
173	0.4155718782
174	0.4155662689
175	0.4154698569
176	0.4153918366
177	0.4153874852
178	0.4153678016
179	0.4152580633
180	0.4152269231
181	0.4152214498
182	0.4151091618
183	0.4150460316
184	0.4149854512
185	0.4148897531
186	0.4148132626
187	0.4146670808
188	0.4145807995
189	0.4144631741
190	0.4144599446
191	0.4144175518
192	0.4144175518
193	0.4142573638
194	0.4141471155
195	0.414038567
196	0.4139736011
197	0.4139716633
198	0.4138911613
199	0.4138593073
200	0.4138497205
201	0.4137945113
202	0.4137234262
203	0.4136008034
204	0.4135040855
205	0.4134644804
206	0.4134491823
207	0.4134016222
208	0.4132415021
209	0.4131775221
210	0.4131770122
211	0.4131605922
212	0.4131605582
213	0.4131601163
214	0.4131388009
215	0.4131351974
216	0.4130939265
217	0.4130155323
218	0.4129955767
219	0.4129400277
220	0.4128418479
221	0.4128371225
222	0.4127656294
223	0.4126264507
224	0.4125784146
225	0.4125731453
226	0.4125615527
227	0.4125477505
228	0.4125320444
229	0.4123958234
230	0.4123946335
231	0.4123458156
232	0.4123127717
233	0.4122524972
234	0.4122131301
235	0.4121606066
236	0.4121531955
237	0.4121351778
238	0.4121347358
239	0.4121339879
240	0.4120916292
241	0.4119758056
242	0.4119051964
243	0.4119046865
244	0.4118019512
245	0.4116929948
246	0.4116906151
247	0.4116663421
248	0.4116007643
249	0.4115985206
250	0.4115353224
251	0.4114754899
252	0.4114481573
253	0.4114459815
254	0.4113251266
255	0.4113115283
256	0.4113110523
257	0.4113033353
258	0.4112718892
259	0.4112406471
260	0.4112371795
261	0.4112085891
