iter	Passed	Remaining
0	160	160210
1	300	149911
2	422	140460
3	546	135966
4	663	132030
5	783	129721
6	899	127652
7	1019	126434
8	1135	125057
9	1251	123883
10	1372	123423
11	1488	122516
12	1615	122674
13	1735	122204
14	1791	117613
15	1912	117642
16	2033	117568
17	2146	117099
18	2262	116821
19	2374	116332
20	2488	115997
21	2569	114246
22	2687	114168
23	2806	114131
24	2923	114002
25	3037	113780
26	3158	113813
27	3272	113607
28	3322	111245
29	3445	111399
30	3568	111558
31	3687	111556
32	3804	111487
33	3918	111321
34	4032	111169
35	4150	111154
36	4270	111139
37	4316	109277
38	4399	108406
39	4457	106974
40	4580	107149
41	4698	107181
42	4815	107180
43	4931	107154
44	5047	107115
45	5168	107196
46	5278	107038
47	5398	107079
48	5520	107147
49	5633	107036
50	5748	106963
51	5865	106934
52	5985	106952
53	6104	106942
54	6226	106988
55	6341	106895
56	6461	106896
57	6576	106811
58	6693	106749
59	6812	106724
60	6927	106642
61	7047	106622
62	7162	106531
63	7284	106537
64	7414	106653
65	7532	106591
66	7644	106458
67	7756	106314
68	7873	106229
69	7988	106137
70	8067	105553
71	8185	105501
72	8251	104787
73	8373	104786
74	8495	104779
75	8615	104750
76	8672	103961
77	8781	103803
78	8899	103754
79	9014	103670
80	9093	103167
81	9207	103079
82	9322	102995
83	9433	102870
84	9554	102851
85	9670	102774
86	9792	102768
87	9904	102644
88	10024	102613
89	10137	102499
90	10255	102444
91	10373	102378
92	10488	102288
93	10610	102264
94	10687	101812
95	10806	101763
96	10920	101666
97	11035	101572
98	11144	101429
99	11260	101347
100	11376	101258
101	11500	101245
102	11623	101222
103	11738	101129
104	11859	101090
105	11983	101068
106	12096	100958
107	12216	100898
108	12338	100860
109	12452	100754
110	12573	100698
111	12692	100635
112	12809	100548
113	12924	100445
114	13040	100353
115	13117	99965
116	13165	99357
117	13283	99287
118	13407	99263
119	13528	99205
120	13647	99142
121	13765	99070
122	13883	98993
123	13994	98863
124	14109	98767
125	14227	98686
126	14343	98594
127	14461	98517
128	14577	98424
129	14688	98298
130	14797	98163
131	14918	98101
132	15034	98007
133	15145	97881
134	15262	97790
135	15379	97706
136	15498	97628
137	15616	97546
138	15733	97456
139	15846	97339
140	15920	96990
141	16030	96861
142	16155	96820
143	16267	96700
144	16374	96554
145	16496	96490
146	16615	96417
147	16676	96003
148	16790	95896
149	16909	95822
150	17024	95722
151	17142	95639
152	17225	95357
153	17353	95331
154	17470	95243
155	17583	95129
156	17702	95049
157	17817	94953
158	17931	94843
159	18052	94774
160	18162	94648
161	18282	94571
162	18397	94468
163	18524	94431
164	18608	94169
165	18729	94100
166	18840	93976
167	18953	93863
168	19072	93780
169	19150	93499
170	19270	93421
171	19326	93038
172	19385	92670
173	19508	92610
174	19568	92252
175	19691	92191
176	19808	92101
177	19855	91693
178	19971	91599
179	20095	91545
180	20171	91274
181	20226	90909
182	20347	90842
183	20462	90747
184	20549	90529
185	20682	90513
186	20797	90417
187	20924	90375
188	21044	90300
189	21173	90264
190	21225	89901
191	21346	89834
192	21390	89441
193	21518	89402
194	21633	89308
195	21753	89233
196	21868	89139
197	21921	88792
198	22033	88688
199	22092	88370
200	22148	88042
201	22226	87805
202	22343	87724
203	22420	87482
204	22536	87397
205	22647	87293
206	22699	86959
207	22776	86724
208	22904	86687
209	23019	86597
210	23069	86263
211	23123	85950
212	23169	85606
213	23222	85292
214	23332	85189
215	23388	84892
216	23512	84839
217	23639	84799
218	23749	84696
219	23860	84597
220	23979	84525
221	24037	84240
222	24168	84210
223	24304	84198
224	24432	84154
225	24486	83859
226	24558	83629
227	24620	83364
228	24737	83286
229	24861	83232
230	24911	82929
231	25026	82845
232	25135	82742
233	25257	82680
234	25369	82584
235	25487	82509
236	25531	82196
237	25590	81931
238	25635	81626
239	25683	81330
240	25792	81230
241	25910	81157
242	26023	81067
243	26085	80820
244	26203	80750
245	26323	80683
246	26380	80423
247	26493	80335
248	26608	80253
249	26659	79977
250	26776	79902
251	26896	79836
252	26960	79603
253	27032	79393
254	27153	79332
255	27263	79233
256	27310	78955
257	27418	78854
258	27479	78617
259	27597	78547
260	27704	78444
261	27816	78353
