fecha,producto_id,cantidad,precio_unitario,cliente_id,region
2023-01-01,6,36,30.63,31,Sur
2023-01-02,1,13,75.0,48,Sur
2023-01-03,5,43,74.8,18,Sur
2023-01-04,9,3,67.7,7,Sur
2023-01-05,12,33,72.46,10,Sur
2023-01-06,14,6,58.85,7,Sur
2023-01-07,2,10,32.66,33,Sur
2023-01-08,17,5,41.11,23,Sur
2023-01-09,14,23,26.34,21,Sur
2023-01-10,13,10,91.76,19,Sur
2023-01-11,9,44,62.51,48,Sur
2023-01-12,15,2,46.08,19,Sur
2023-01-13,15,13,51.58,36,Sur
2023-01-14,11,40,95.26,29,Sur
2023-01-15,16,2,23.8,18,Sur
2023-01-16,17,20,62.76,2,Sur
2023-01-17,4,1,55.53,1,Sur
2023-01-18,1,37,65.03,47,Sur
2023-01-19,8,9,11.63,5,Sur
2023-01-20,17,17,88.49,20,Sur
2023-01-21,3,9,93.89,11,Sur
2023-01-22,20,11,60.86,42,Sur
2023-01-23,15,15,72.7,2,Sur
2023-01-24,15,24,93.02,3,Sur
2023-01-25,14,38,73.65,23,Sur
2023-01-26,14,35,23.73,12,Sur
2023-01-27,2,30,61.87,20,Sur
2023-01-28,13,31,64.6,5,Sur
2023-01-29,14,49,48.17,37,Sur
2023-01-30,19,5,76.28,38,Sur
2023-01-31,7,44,94.09,30,Sur
2023-02-01,3,14,93.3,9,Sur
2023-02-02,15,11,50.58,34,Sur
2023-02-03,14,9,20.19,44,Sur
2023-02-04,11,34,98.64,35,Sur
2023-02-05,15,12,85.5,22,Sur
2023-02-06,13,35,21.22,44,Sur
2023-02-07,18,35,92.88,24,Sur
2023-02-08,6,1,88.29,17,Sur
2023-02-09,3,40,56.7,10,Sur
2023-02-10,19,22,63.21,30,Sur
2023-02-11,15,29,45.91,46,Sur
2023-02-12,5,8,14.93,23,Sur
2023-02-13,10,11,40.17,32,Sur
2023-02-14,7,41,82.26,17,Sur
2023-02-15,17,37,10.42,50,Sur
2023-02-16,7,14,40.01,17,Sur
2023-02-17,12,30,45.84,14,Sur
2023-02-18,17,35,58.37,9,Sur
2023-02-19,13,21,92.79,40,Sur
2023-02-20,20,37,41.17,2,Sur
2023-02-21,4,5,41.23,45,Sur
2023-02-22,10,19,76.38,25,Sur
2023-02-23,3,14,50.7,39,Sur
2023-02-24,9,26,30.21,9,Sur
2023-02-25,13,4,50.72,22,Sur
2023-02-26,18,25,22.68,43,Sur
2023-02-27,15,45,25.87,46,Sur
2023-02-28,4,42,54.85,4,Sur
2023-03-01,15,25,47.7,26,Sur
2023-03-02,2,18,92.34,29,Sur
2023-03-03,15,40,42.62,45,Sur
2023-03-04,8,8,62.25,34,Sur
2023-03-05,8,39,66.9,23,Sur
2023-03-06,17,40,11.18,37,Sur
2023-03-07,12,14,69.72,11,Sur
2023-03-08,19,32,26.02,6,Sur
2023-03-09,10,38,96.5,18,Sur
2023-03-10,9,33,23.38,21,Sur
2023-03-11,5,23,47.32,42,Sur
2023-03-12,6,15,17.68,36,Sur
2023-03-13,20,33,99.72,41,Sur
2023-03-14,2,25,55.2,38,Sur
2023-03-15,13,17,63.58,34,Sur
2023-03-16,6,33,16.04,17,Sur
2023-03-17,5,47,77.5,37,Sur
2023-03-18,1,2,28.89,25,Sur
2023-03-19,6,14,90.82,38,Sur
2023-03-20,6,40,28.46,12,Sur
2023-03-21,16,40,27.16,23,Sur
2023-03-22,4,39,13.29,42,Sur
2023-03-23,11,6,52.49,22,Sur
2023-03-24,9,6,60.84,21,Sur
2023-03-25,3,3,15.91,27,Sur
2023-03-26,19,7,79.8,31,Sur
2023-03-27,8,8,50.8,6,Sur
2023-03-28,5,42,57.2,27,Sur
2023-03-29,4,15,49.67,40,Sur
2023-03-30,6,47,46.07,34,Sur
2023-03-31,2,29,60.37,12,Sur
2023-04-01,20,33,23.97,45,Sur
2023-04-02,11,30,26.37,7,Sur
2023-04-03,4,39,87.56,10,Sur
2023-04-04,15,27,95.15,45,Sur
2023-04-05,6,36,43.6,17,Sur
2023-04-06,17,29,34.37,26,Sur
2023-04-07,6,38,67.96,21,Sur
2023-04-08,19,33,46.79,28,Sur
2023-04-09,2,37,12.28,46,Sur
2023-04-10,15,27,24.05,2,Sur
2023-04-11,11,33,74.44,43,Sur
2023-04-12,8,4,69.3,1,Sur
2023-04-13,19,22,12.44,36,Sur
2023-04-14,13,2,29.98,26,Sur
2023-04-15,12,10,30.8,29,Sur
2023-04-16,5,5,70.47,21,Sur
2023-04-17,6,10,11.77,11,Sur
2023-04-18,4,33,19.37,40,Sur
2023-04-19,19,38,81.99,11,Sur
2023-04-20,20,13,26.07,36,Sur
2023-04-21,1,31,68.75,49,Sur
2023-04-22,20,47,31.44,39,Sur
2023-04-23,17,36,18.95,40,Sur
2023-04-24,12,45,31.89,35,Sur
2023-04-25,15,24,75.0,34,Sur
2023-04-26,1,15,87.01,47,Sur
2023-04-27,14,29,84.72,24,Sur
2023-04-28,6,8,45.75,22,Sur
2023-04-29,5,5,70.13,5,Sur
2023-04-30,11,29,28.45,33,Sur
